id,name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,image_url,scraped_at
109,Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,198 x 120 x 36 см,198 x 120 x 36 см,https://www.divan.ru/product/divan-pryamoj-fils-mini-120-velvet-terra,,2025-08-26 05:37:56.343158
110,Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92 см,205 x 160 x 46 см,https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse,,2025-08-26 05:37:56.343158
108,"Диван ""Уют"" прямой с механизмом еврокнижка",35000.0,45000.0,22.0,180x75x80 см,180x200 см,https://www.divan.ru/product/test2,https://example.com/image2.jpg,2025-08-26 05:28:52.865043
107,"Диван ""Комфорт"" угловой с подлокотниками",45000.0,60000.0,25.0,200x80x85 см,160x200 см,https://www.divan.ru/product/test1,https://example.com/image1.jpg,2025-08-26 05:28:52.865043
96,Диван прямой Марей Soft Grey,142580.0,179330.0,20.0,259 x 110 x 88 см,192 x 160 x 44 см,https://www.divan.ru/product/divan-marej-soft-grey,https://cdn0.divan.ru/img/v1/A2DUqcai0DjdUVx2IMfKwnK2KSTzixVe6ScbPofHGfw/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUxODkwMDUucG5n.jpg,2025-08-26 04:57:49.491974
54,Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,,,https://www.divan.ru/product/divan-pryamoj-fils-mini-120-velvet-terra,https://cdn0.divan.ru/img/v1/s1rVZtVM4wuF5YJqLIz2WUNk_YGExcBCyuNTsga1yBI/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU2NDE1MzEucG5n.jpg,2025-08-26 04:57:49.491974
55,Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92 см,205 x 160 x 46 см,https://www.divan.ru/product/divan-pryamoj-melou-velvet-eclipse,https://cdn0.divan.ru/img/v1/M7hPuzQCLf7ckEp0YBmUU6hQswn513gqQr2VsLvxnso/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU1OTA1NTQucG5n.jpg,2025-08-26 04:57:49.491974
56,Диван угловой Нордика мини Velvet Yellow,88190.0,117590.0,25.0,175 x 155 x 92 см,200 x 160 x 45 см,https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-yellow,https://cdn0.divan.ru/img/v1/9TkX59DEtskjJ10YJWec0HQq_tyrhAyFfBYGH0C09S8/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzMjI3MTMucG5n.jpg,2025-08-26 04:57:49.491974
57,Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,252 x 115 x 83 см,200 x 155 x 38 см,https://www.divan.ru/product/divan-spejs-velvet-olive,https://cdn0.divan.ru/img/v1/qNfrRJpH8oxDezHGQMjU_3ZHoHRHax1Q136M5oFxFQk/t:0::0:0/pd:30:30:30:30/rs:fit:364:216:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyNTM3OTUucG5n.jpg,2025-08-26 04:57:49.491974
58,Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,186 x 105 x 73 см,203 x 140 x 45 см,https://www.divan.ru/product/divan-pryamoj-aront-mini-velvet-smoke,https://cdn0.divan.ru/img/v1/7QYXYVlBhnof5Am1oQ0yeOgPZZyNX2sBTKOe98rTXK8/t:0::0:0/pd:60:30:60:30/rs:fit:364:156:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU2MTg2MDQucG5n.jpg,2025-08-26 04:57:49.491974
