name,price,old_price,discount_percent,dimensions,sleeping_dimensions,url,page_number,scraped_at
Диван прямой Филс-Мини 120 Velvet Terra,41150.0,58790.0,30.0,,198 x 120 x 36,https://www.divan.ru/product/диван-прямой-филс-мини-120-velvet-terra,1,2025-08-26 07:53:45.242834
Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,200 x 105 x 85,200 x 145 x 40,https://www.divan.ru/product/диван-прямой-льери-мини-velvet-yellow,3,2025-08-26 07:53:45.242834
Диван прямой Лонди Bunny Milk,80840.0,95540.0,15.0,200 x 105 x 85,,https://www.divan.ru/product/диван-прямой-лонди-bunny-milk,3,2025-08-26 07:53:45.242834
Диван прямой Клаймар Velvet Terra,92600.0,124940.0,25.0,180 x 120 x 80,180 x 120 x 35,https://www.divan.ru/product/диван-прямой-клаймар-velvet-terra,2,2025-08-26 07:53:45.242834
Диван прямой Нумо-Мини 120 Textile Light,39680.0,64670.0,38.0,195 x 110 x 88,195 x 150 x 42,https://www.divan.ru/product/диван-прямой-нумо-мини-120-textile-light,2,2025-08-26 07:53:45.242834
Диван прямой Массе-М Мини Velvet Navy Blue,73490.0,86720.0,15.0,195 x 110 x 88,,https://www.divan.ru/product/диван-прямой-массе-м-мини-velvet-navy-blue,2,2025-08-26 07:53:45.242834
Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,252 x 115 x 83,200 x 155 x 38,https://www.divan.ru/product/диван-прямой-аронт-мини-velvet-smoke,1,2025-08-26 07:53:45.242834
Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,175 x 155 x 92,200 x 160 x 45,https://www.divan.ru/product/диван-прямой-спейс-velvet-olive,1,2025-08-26 07:53:45.242834
Диван угловой Нордика мини Velvet Yellow,88190.0,117590.0,25.0,205 x 112 x 92,205 x 160 x 46,https://www.divan.ru/product/диван-угловой-нордика-мини-velvet-yellow,1,2025-08-26 07:53:45.242834
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92,198 x 120 x 36,https://www.divan.ru/product/диван-прямой-мелоу-velvet-eclipse,1,2025-08-26 07:53:45.242834
Диван прямой Мелоу Velvet Eclipse,80840.0,101420.0,20.0,205 x 112 x 92,198 x 120 x 36,https://www.divan.ru/product/диван-прямой-мелоу-velvet-eclipse,1,2025-08-26 07:46:17.537034
Диван прямой Льери Мини Velvet Yellow,95540.0,136700.0,30.0,200 x 105 x 85,200 x 145 x 40,https://www.divan.ru/product/диван-прямой-льери-мини-velvet-yellow,3,2025-08-26 07:46:17.537034
Диван прямой Лонди Bunny Milk,80840.0,95540.0,15.0,200 x 105 x 85,,https://www.divan.ru/product/диван-прямой-лонди-bunny-milk,3,2025-08-26 07:46:17.537034
Диван прямой Клаймар Velvet Terra,92600.0,124940.0,25.0,180 x 120 x 80,180 x 120 x 35,https://www.divan.ru/product/диван-прямой-клаймар-velvet-terra,2,2025-08-26 07:46:17.537034
Диван прямой Нумо-Мини 120 Textile Light,39680.0,64670.0,38.0,195 x 110 x 88,195 x 150 x 42,https://www.divan.ru/product/диван-прямой-нумо-мини-120-textile-light,2,2025-08-26 07:46:17.537034
Диван прямой Массе-М Мини Velvet Navy Blue,73490.0,86720.0,15.0,195 x 110 x 88,,https://www.divan.ru/product/диван-прямой-массе-м-мини-velvet-navy-blue,2,2025-08-26 07:46:17.537034
Диван прямой Аронт Мини Velvet Smoke,83780.0,105830.0,20.0,252 x 115 x 83,200 x 155 x 38,https://www.divan.ru/product/диван-прямой-аронт-мини-velvet-smoke,1,2025-08-26 07:46:17.537034
Диван прямой Спейс Velvet Olive,99950.0,136700.0,26.0,175 x 155 x 92,200 x 160 x 45,https://www.divan.ru/product/диван-прямой-спейс-velvet-olive,1,2025-08-26 07:46:17.537034
